DBA,Borough,STREET,CUISINE DESCRIPTION,SCORE,GRADE,GRADE DATE,INCOME LEVEL
H.K WONTON GARDEN,MANHATTAN,MULBERRY STREET,Chinese,11.0,A,12/27/2016,high income
CAFE BOULUD/BAR PLEIADES,MANHATTAN,EAST   76 STREET,French,10.0,A,08/19/2016,high income
CITY VIEW RACQUET CLUB,QUEENS,32 PLACE,American,7.0,A,04/05/2016,medium income
DORIS,BROOKLYN,FULTON STREET,American,8.0,A,02/26/2016,medium income
DROP OFF SERVICE,MANHATTAN,AVENUE A,American,5.0,A,08/16/2016,medium income
SMILE TO GO,MANHATTAN,HOWARD STREET,American,8.0,A,03/11/2016,high income
LA DOLCE ITALIA BAKERY,QUEENS,METROPOLITAN AVENUE,Bakery,13.0,A,04/15/2014,medium income
SUBWAY,MANHATTAN,CHAMBERS STREET,Sandwiches,2.0,A,08/05/2014,high income
BAGELS FOR YOU,QUEENS,QUEENS BOULEVARD,Bagels/Pretzels,7.0,A,04/10/2015,medium income
EASTEND BAR & GRILL,MANHATTAN,1 AVENUE,American,5.0,Z,08/22/2017,high income
LILLIAN PIZZERIA,QUEENS,69 AVENUE,Pizza,9.0,A,06/21/2017,medium income
STARBUCKS,MANHATTAN,BROADWAY,Sandwiches,2.0,A,08/05/2016,high income
DISTRIBUIDORA SAN MARCOS,BRONX,INTERVALE AVENUE,Mexican,8.0,A,03/16/2016,low income
MCDONALD'S,MANHATTAN,CHAMBERS STREET,American,12.0,A,04/12/2016,high income
SUBWAY,QUEENS,71 AVENUE,Sandwiches,2.0,A,04/10/2014,medium income
SUBWAY,MANHATTAN,2 AVENUE,Sandwiches,9.0,A,05/26/2017,high income
DELMONICO GOURMET,MANHATTAN,LEXINGTON AVENUE,American,19.0,B,07/03/2014,high income
SUBWAY,BRONX,JEROME AVENUE,American,10.0,A,10/20/2014,low income
LILY'S BAR @ ROGER SMITH HOTEL,MANHATTAN,LEXINGTON AVENUE,American,12.0,A,09/22/2015,high income
NATIONAL BAKERY,BRONX,INTERVALE AVENUE,Bakery,18.0,B,12/10/2015,low income
16 HANDLES,MANHATTAN,AMSTERDAM AVENUE,"Ice Cream, Gelato, Yogurt, Ices",31.0,C,04/10/2014,high income
MCDONALD'S,QUEENS,QUEENS BOULEVARD,Hamburgers,9.0,A,06/17/2016,medium income
COLUMBUS GOURMET FOOD,MANHATTAN,COLUMBUS AVE STORE #2,American,11.0,A,01/23/2014,high income
DUNKIN' DONUTS,MANHATTAN,1 AVENUE,Donuts,5.0,A,09/10/2014,high income
MCDONALD'S,QUEENS,WILLETS POINT BOULEVARD,Hamburgers,13.0,A,08/16/2017,medium income
RESTUARANT NIPPON,MANHATTAN,EAST   52 STREET,Japanese,11.0,A,02/10/2015,high income
NEW IMPERIAL KITCHEN,BROOKLYN,FULTON STREET,Chinese,11.0,A,09/25/2014,medium income
CUCINA & COMPANY,MANHATTAN,PARK AVENUE,American,9.0,A,05/11/2015,high income
SUSHI YASUDA,MANHATTAN,EAST   43 STREET,Japanese,9.0,A,01/18/2017,high income
CHIPOTLE MEXICAN GRILL,MANHATTAN,EAST   52 STREET,Mexican,9.0,A,01/16/2015,high income
FENG'S GARDEN,QUEENS,QUEENS BOULEVARD,Chinese,10.0,A,11/26/2013,medium income
ECUA VILLA COFFEE SHOP,BRONX,EAST  170 STREET,Caf̩/Coffee/Tea,10.0,A,06/29/2016,low income
BRISAS DEL MAR RESTAURANT,QUEENS,ROCKAWAY BEACH BOULEVARD,"Latin (Cuban, Dominican, Puerto Rican, South & Central American)",13.0,A,07/22/2015,medium income
MAMMA'S FAMOUS PIZZA & BURGERS,MANHATTAN,BROADWAY,Pizza,12.0,A,10/26/2015,high income
PARADISE CAFE NY RESTAURANT,BRONX,OGDEN AVENUE,Spanish,7.0,A,04/11/2017,low income
MCDONALD'S,QUEENS,QUEENS BOULEVARD,Hamburgers,12.0,A,12/08/2016,medium income
CHO-SEN GARDEN,QUEENS,108 STREET,Jewish/Kosher,17.0,B,11/06/2014,medium income
MORTON'S THE STEAKHOUSE,MANHATTAN,EAST   45 STREET,American,10.0,A,04/15/2016,high income
STARBUCKS,MANHATTAN,3 AVENUE,Caf̩/Coffee/Tea,4.0,A,05/18/2017,high income
ANDY'S DELI,MANHATTAN,BROADWAY,American,7.0,A,01/12/2016,high income
SEGUINE BAGEL BAKERY,STATEN ISLAND,AMBOY ROAD,Delicatessen,10.0,A,07/29/2015,medium income
SMITH & MILLS,MANHATTAN,NORTH MOORE STREET,American,6.0,A,05/19/2015,high income
VAN DAM DELI,QUEENS,VAN DAM STREET,Spanish,13.0,A,03/24/2016,medium income
CASA ENRIQUE,QUEENS,49 AVENUE,Mexican,13.0,A,08/18/2016,medium income
LAS PALMAS BAKERY,BRONX,JEROME AVENUE,Bakery,12.0,A,01/20/2015,low income
LE CHARLOT,MANHATTAN,EAST   69 STREET,French,9.0,A,01/09/2017,high income
STARBUCKS,MANHATTAN,PARK AVENUE,Caf̩/Coffee/Tea,10.0,A,08/08/2017,high income
AMBASSADOR FOOD SERVICES,QUEENS,38 AVENUE,American,9.0,A,05/11/2015,medium income
BAR COASTAL,MANHATTAN,1 AVENUE,American,7.0,A,04/16/2015,high income
CIAO FOR NOW,MANHATTAN,EAST   12 STREET,Caf̩/Coffee/Tea,13.0,A,11/25/2015,medium income
DUBLIN HOUSE,MANHATTAN,WEST   79 STREET,Irish,13.0,A,07/19/2017,high income
STARBUCKS,MANHATTAN,EAST   53 STREET,Caf̩/Coffee/Tea,4.0,A,04/14/2016,high income
PHOENIX,MANHATTAN,EAST   13 STREET,American,7.0,A,02/27/2017,medium income
BENTON CAFE,MANHATTAN,EAST   45 STREET,Japanese,13.0,A,11/12/2015,high income
DOMINO'S,MANHATTAN,WEST   72 STREET,Pizza,13.0,A,12/08/2014,high income
KAZUZA,MANHATTAN,AVENUE A,Middle Eastern,12.0,A,08/29/2016,medium income
BAR MISHIMA,MANHATTAN,EAST   52 STREET,Japanese,9.0,A,05/13/2015,high income
OTTO'S SHRUNKEN HEAD,MANHATTAN,EAST   14 STREET,American,13.0,A,10/02/2014,medium income
THE CAPITAL GRILLE,MANHATTAN,EAST   42 STREET,Steak,6.0,A,04/21/2014,high income
WRAP N RUN GRILL,MANHATTAN,LEXINGTON AVENUE,American,26.0,B,11/08/2014,high income
PEKING DUCK HOUSE,MANHATTAN,MOTT STREET,Chinese,8.0,A,01/15/2014,high income
YOLI RESTAURANT,MANHATTAN,EAST    3 STREET,"Latin (Cuban, Dominican, Puerto Rican, South & Central American)",7.0,A,09/29/2015,medium income
SESSION 73,MANHATTAN,1 AVENUE,American,25.0,B,01/17/2017,high income
FELICE 64 WINE BAR,MANHATTAN,1 AVENUE,Italian,13.0,A,02/02/2017,high income
SUSHI KOI,QUEENS,QUEENS BOULEVARD,Japanese,9.0,A,01/13/2015,medium income
ZARO'S BREAD BASKET,MANHATTAN,EAST   42 STREET,Bakery,13.0,A,07/17/2014,high income
ST REGIS NEW YORK - 20TH FLOOR ROOF BALLROOM,MANHATTAN,EAST   55 STREET,American,8.0,A,08/19/2017,high income
GALLAGHER'S 2000,QUEENS,37 STREET,American,3.0,A,02/12/2015,medium income
GRILL 149 PLUS,BRONX,EAST  149 STREET,Delicatessen,9.0,A,11/07/2014,low income
LUNA PIZZA,MANHATTAN,PARK ROW,Pizza,7.0,A,10/06/2015,high income
PITA GRILL,MANHATTAN,2 AVENUE,Jewish/Kosher,23.0,B,10/16/2014,high income
BALDOR SPECIALTY FOODS,BRONX,FOOD CENTER DRIVE,American,9.0,A,05/30/2017,low income
EAGLE CITY TEX MEX CHINESE FOOD,BROOKLYN,FULTON STREET,Chinese,13.0,A,05/28/2015,medium income
CARLOW EAST,MANHATTAN,LEXINGTON AVENUE,American,7.0,A,08/20/2015,high income
MCDONALD'S,MANHATTAN,BROADWAY,Hamburgers,5.0,A,10/31/2014,high income
KILLMEYER'S OLD BAVARIA INN.,STATEN ISLAND,ARTHUR KILL ROAD,German,4.0,A,03/04/2015,medium income
SOPHIE'S RESTAURANT,MANHATTAN,LEXINGTON AVENUE,Spanish,12.0,A,08/15/2016,high income
CENTRAL MARKET NEW YORK,MANHATTAN,VANDERBILT AVENUE,Italian,10.0,A,06/02/2017,high income
GLADY'S,BROOKLYN,FRANKLIN AVENUE,Caribbean,7.0,A,02/24/2017,medium income
ESPERANTO RESTAURANT BAR AND JUGO,MANHATTAN,AVENUE C,Brazilian,43.0,C,07/08/2015,medium income
RITZ DINER,MANHATTAN,1 AVENUE,American,9.0,A,11/20/2014,high income
THE SMITH,MANHATTAN,2 AVENUE,American,12.0,A,11/15/2016,high income
GREAT WALL KITCHEN,BRONX,PROSPECT AVENUE,Chinese,12.0,A,11/13/2015,low income
MOMOFUKU MILK BAR UWS,MANHATTAN,COLUMBUS AVENUE,Caf̩/Coffee/Tea,2.0,A,01/16/2015,high income
TOOKER ALLEY,BROOKLYN,WASHINGTON AVENUE,American,12.0,A,06/19/2014,medium income
NEW MANDARIN COURT,MANHATTAN,MOTT STREET,Chinese,10.0,A,01/11/2017,high income
PJ MORANS,MANHATTAN,EAST   48 STREET,Irish,5.0,A,06/30/2017,high income
THE GRAFTON PUBLIC HOUSE,MANHATTAN,1 AVENUE,American,11.0,A,04/13/2015,medium income
FOREST HILLS BAGELS,QUEENS,QUEENS BOULEVARD,American,9.0,A,07/09/2015,medium income
STARBUCKS,MANHATTAN,3 AVENUE,Caf̩/Coffee/Tea,3.0,A,02/13/2017,high income
CIBO E VINO,MANHATTAN,BROADWAY,Italian,10.0,A,01/12/2015,high income
SUBWAY,MANHATTAN,3 AVENUE,Sandwiches,5.0,A,03/18/2016,high income
AMY'S BREAD CAFE,MANHATTAN,LINCOLN CENTER PLZ,Bakery,10.0,A,08/15/2017,high income
AJISEN RAMEN,MANHATTAN,MOTT STREET,Japanese,33.0,C,06/16/2016,high income
TAKAHACHI TRIBECA,MANHATTAN,DUANE STREET,Japanese,13.0,A,09/28/2015,high income
SIT & WONDER,BROOKLYN,WASHINGTON AVENUE,Caf̩/Coffee/Tea,5.0,A,04/18/2016,medium income
STARBUCKS,MANHATTAN,3 AVENUE,Caf̩/Coffee/Tea,7.0,A,02/14/2014,high income
EMACK & BOLIOS,MANHATTAN,1 AVENUE,"Ice Cream, Gelato, Yogurt, Ices",9.0,A,05/02/2017,high income
YEFSI ESTIATORIO,MANHATTAN,YORK AVENUE,Greek,12.0,A,09/04/2015,high income
MCDONALD'S,BRONX,UNIVERSITY AVENUE,American,2.0,A,04/07/2016,low income
NEW FRESCO TORTILLAS,MANHATTAN,READE STREET,Tex-Mex,9.0,A,03/31/2015,high income
SHUN LEE,MANHATTAN,WEST   65 STREET,Chinese,11.0,A,02/08/2017,high income
THE PRESS BOX,MANHATTAN,2 AVENUE,American,12.0,A,11/24/2015,high income
GOOD FORTUNE RESTAURANT,QUEENS,KISSENA BOULEVARD,Chinese,36.0,C,09/23/2014,low income
EL TIMBIRICHI RESTAURANT,BRONX,EAST  174 STREET,"Latin (Cuban, Dominican, Puerto Rican, South & Central American)",3.0,A,07/22/2016,low income
KIDDIE CAKES,STATEN ISLAND,AMBOY ROAD,Bakery,9.0,A,05/03/2016,medium income
SABOR A MEXICO TAQUERIA,MANHATTAN,1 AVENUE,Mexican,8.0,A,02/25/2014,medium income
TAL BAGELS,MANHATTAN,BROADWAY,American,20.0,B,05/06/2016,high income
MCDONALD'S,BRONX,3 AVENUE,Hamburgers,9.0,A,10/10/2015,high income
MCDONALD'S,BRONX,3 AVENUE,Hamburgers,9.0,A,10/10/2015,low income
HALE & HEARTY SOUP,MANHATTAN,GRAND CENTRAL TERMINAL,Soups & Sandwiches,7.0,A,09/16/2015,high income
THE RIVER CLUB,MANHATTAN,EAST   52 STREET,American,23.0,B,06/30/2014,high income
E.A.T. CAFE,MANHATTAN,MADISON AVENUE,American,10.0,A,02/23/2015,high income
NEW WAVE CAFE & RESTAURANT,MANHATTAN,BROADWAY,Caf̩/Coffee/Tea,10.0,A,04/21/2015,high income
L. I. C. BAR,QUEENS,VERNON BOULEVARD,Irish,8.0,A,04/02/2015,medium income
NEW CHAMPION WOK,QUEENS,41 AVENUE,Chinese,12.0,A,03/24/2016,medium income
JIMBO'S HAMBURGER,BRONX,EAST TREMONT AVENUE,American,6.0,A,06/25/2015,low income
EMPANADAS EL GUSTAZO RESTAURANTE,QUEENS,COLLEGE POINT BLVD,"Latin (Cuban, Dominican, Puerto Rican, South & Central American)",19.0,B,10/08/2014,low income
NB. NATIONAL BAKERY,BRONX,WALTON AVENUE,Bakery,8.0,A,08/21/2014,low income
CORNERSTONE TAVERN/THE STAG'S HEAD,MANHATTAN,2 AVENUE,Irish,12.0,A,12/08/2016,high income
BENTO SUSHI,MANHATTAN,BROADWAY,Japanese,10.0,A,10/27/2014,high income
RINCONCITO TEPEYAC,BRONX,EAST  138 STREET,Mexican,31.0,C,10/18/2016,low income
PANCHO VILLA RESTAURANT,BRONX,JEROME AVENUE,Mexican,12.0,A,04/07/2016,low income
SEL ET POIVRE RESTAURANT,MANHATTAN,LEXINGTON AVENUE,French,10.0,A,06/24/2015,high income
ZIOTOTO RESTAURANTE & BAR,STATEN ISLAND,PAGE AVENUE,Italian,11.0,A,06/30/2016,medium income
HERBS THAI BISTRO,MANHATTAN,EAST   45 STREET,Thai,4.0,C,10/27/2016,high income
BIERHAUS,MANHATTAN,3 AVENUE,German,13.0,A,05/10/2016,high income
CAFETERIA (USPS BLDNG),QUEENS,20 AVENUE,American,10.0,A,11/14/2014,medium income
BISTRO VENDOME,MANHATTAN,EAST   58 STREET,French,10.0,A,05/20/2015,high income
STARBUCKS,MANHATTAN,BROADWAY,Caf̩/Coffee/Tea,9.0,A,11/23/2016,high income
MONTEBELLO RESTAURANT,MANHATTAN,EAST   56 STREET,Italian,10.0,A,03/10/2015,high income
APPLEBEE'S,QUEENS,26 AVENUE,American,8.0,A,03/13/2017,medium income
KENNEDY FRIED CHICKEN,BRONX,EAST  138 STREET,Chicken,5.0,A,12/19/2014,low income
VEGA ALTA SPORTS BAR,BRONX,GERARD AVENUE,"Latin (Cuban, Dominican, Puerto Rican, South & Central American)",8.0,A,10/17/2016,low income
SOLO PIZZA,MANHATTAN,AVENUE B,Pizza,8.0,A,09/21/2015,medium income
PALM RESTAURANT,MANHATTAN,CHAMBERS STREET,Steak,11.0,A,05/06/2014,high income
ALIBABA,MANHATTAN,AMSTERDAM AVENUE,Jewish/Kosher,7.0,A,08/05/2015,high income
PAPATZUL,MANHATTAN,GRAND STREET,Mexican,7.0,A,06/09/2017,high income
ZARO'S BREAD BASKET,MANHATTAN,EAST   42 STREET,Bakery,8.0,A,12/11/2014,high income
ELIO'S,MANHATTAN,SECOND AVENUE,Italian,13.0,A,02/12/2016,high income
DEGREZIA,MANHATTAN,EAST   50 STREET,Italian,9.0,A,05/12/2015,high income
WING WAGON,BROOKLYN,FLATBUSH AVENUE,American,2.0,A,07/23/2015,medium income
CHINA HOUSE RESTAURANT,BRONX,EAST  138 STREET,Chinese,12.0,A,09/10/2014,low income
CAFE HIMALAYA,MANHATTAN,EAST    1 STREET,Asian,8.0,A,05/04/2017,medium income
SUSHI OF GARI TRIBECA,MANHATTAN,WEST BROADWAY,Japanese,14.0,B,06/16/2014,high income
PROLETARIAT NY,MANHATTAN,ST MARKS PLACE,American,11.0,A,03/06/2015,medium income
KARAOKE DUET 48,MANHATTAN,EAST   48 STREET,American,13.0,A,03/19/2015,high income
BONELLE PASTRY SHOP,QUEENS,ASCAN AVENUE,Bakery,7.0,A,02/25/2016,medium income
BLEND,QUEENS,VERNON BOULEVARD,"Latin (Cuban, Dominican, Puerto Rican, South & Central American)",11.0,A,02/11/2017,medium income
CHIPOTLE MEXICAN GRILL,MANHATTAN,EAST   44 STREET,Mexican,12.0,A,06/10/2014,high income
GALLI RESTAURANT,MANHATTAN,MERCER STREET,Italian,33.0,C,08/31/2015,high income
XI'AN FAMOUS FOODS,QUEENS,MAIN ST,Chinese,13.0,A,12/01/2016,low income
THE SEA FIRE GRILL,MANHATTAN,EAST   48 STREET,American,13.0,A,12/08/2015,high income
MATSU JAPANESE CUISINE,MANHATTAN,COLUMBUS AVENUE,Japanese,17.0,B,01/27/2016,high income
DORIAN CAFE,QUEENS,50 AVENUE,American,9.0,A,08/07/2017,medium income
TONG HAI TUNG BAKERY,QUEENS,MAIN STREET,Bakery,23.0,B,08/12/2014,low income
AMARANTH,MANHATTAN,EAST   62 STREET,French,10.0,A,05/03/2016,high income
SALVO'S,MANHATTAN,YORK AVENUE,Pizza/Italian,9.0,A,09/15/2015,high income
MCDONALD'S,BROOKLYN,BROADWAY,American,12.0,A,10/07/2016,high income
MONKEY BAR,MANHATTAN,EAST   54 STREET,American,10.0,A,02/18/2015,high income
STARBUCKS,QUEENS,QUEENS BOULEVARD,Caf̩/Coffee/Tea,7.0,A,03/30/2015,medium income
SODA BAR,BROOKLYN,VANDERBILT AVENUE,American,13.0,A,06/13/2017,medium income
HATSUHANA RESTAURANT,MANHATTAN,EAST   48 STREET,Japanese,8.0,A,04/30/2015,high income
MARIO'S SNACK SHOP,BRONX,TELLER AVENUE,American,9.0,A,07/25/2014,low income
RUSSIAN TURKISH BATHS,MANHATTAN,EAST   10 STREET,Russian,13.0,A,12/18/2014,medium income
MARKET CAFE,MANHATTAN,LEXINGTON AVENUE,American,8.0,A,06/17/2015,high income
STARBUCKS,MANHATTAN,MADISON AVENUE,Caf̩/Coffee/Tea,9.0,A,05/13/2014,high income
TUK TUK,QUEENS,VERNON BLVD,Thai,11.0,A,10/28/2015,medium income
UNITED GROCERY & DELI,MANHATTAN,HUDSON STREET,Delicatessen,13.0,A,06/30/2014,high income
SHAKE SHACK,MANHATTAN,GRAND CENTRAL TERMINAL,American,12.0,A,05/30/2017,high income
E.J LUNCHEONETTE,MANHATTAN,THIRD AVENUE,American,9.0,A,02/04/2015,high income
I-FORTUNE COOKIE,QUEENS,21ST ST,Chinese,10.0,A,02/22/2016,medium income
SESSION 73,MANHATTAN,1 AVENUE,American,13.0,A,03/06/2015,high income
ANTIQUE GARAGE,MANHATTAN,MERCER STREET,Mediterranean,5.0,A,02/14/2017,high income
AJISAI,MANHATTAN,LEXINGTON AVENUE,Japanese,17.0,B,08/25/2016,high income
XE MAY,MANHATTAN,ST MARKS PLACE,Sandwiches/Salads/Mixed Buffet,9.0,A,06/27/2014,medium income
EMPIRE KING RESTAURANT,BRONX,BOSTON ROAD,Chinese,9.0,A,10/13/2015,low income
GRACIE'S ON 2ND,MANHATTAN,E 86TH ST,American,13.0,A,10/05/2015,high income
KANA TAPAS BAR & RESTAURANT,MANHATTAN,SPRING STREET,Tapas,15.0,B,01/02/2014,high income
JOY CURRY & TANDOOR,MANHATTAN,EAST   46 STREET,Indian,7.0,A,02/02/2016,high income
MISS LILY'S 7A,MANHATTAN,AVENUE A,Caribbean,17.0,B,09/19/2016,medium income
CHIPOTLE MEXICAN GRILL,MANHATTAN,3 AVENUE,Tex-Mex,12.0,A,11/23/2015,high income
BEIJING STYLE BARBEQUE,QUEENS,BOWNE STREET,Chinese,26.0,B,10/31/2015,low income
EL PORRON,MANHATTAN,1 AVENUE,"Latin (Cuban, Dominican, Puerto Rican, South & Central American)",11.0,A,06/21/2016,high income
SUBWAY,BRONX,EAST  167 STREET,Sandwiches,4.0,A,07/25/2017,low income
CICCIO,MANHATTAN,6 AVENUE,Italian,7.0,A,03/13/2017,high income
STARBUCKS,MANHATTAN,PARK AVENUE,Caf̩/Coffee/Tea,2.0,A,04/08/2016,high income
BAILEY'S CORNER PUB,MANHATTAN,YORK AVENUE,Irish,10.0,A,07/17/2017,high income
BARRE CAFE AT STEPS,MANHATTAN,BROADWAY,Caf̩/Coffee/Tea,20.0,B,06/13/2016,high income
BARBARESCO,MANHATTAN,LEXINGTON AVENUE,Italian,9.0,A,08/26/2015,high income
ORIGINAL RAY'S PIZZA,MANHATTAN,LEXINGTON AVENUE,Pizza,12.0,A,03/31/2016,high income
MILLENIUM HILTON,MANHATTAN,CHURCH STREET,American,7.0,A,09/30/2014,high income
THE BREUKELEN COFFEE HOUSE,BROOKLYN,FRANKLIN AVENUE,Caf̩/Coffee/Tea,9.0,A,12/17/2014,medium income
KYO-YA,MANHATTAN,EAST    7 STREET,Japanese,10.0,A,05/07/2016,medium income
NAPOLI'S BEST PIZZA,BRONX,EAST TREMONT AVENUE,Pizza,13.0,A,03/05/2015,low income
MIDWAY CINEMAS,QUEENS,QUEENS BOULEVARD,American,11.0,A,06/03/2015,medium income
FORTY CARROTS,MANHATTAN,BROADWAY,American,7.0,A,08/09/2016,high income
SALUGGI'S,MANHATTAN,CHURCH STREET,Italian,14.0,B,01/05/2015,high income
JUICE GENERATION,MANHATTAN,BROADWAY,"Juice, Smoothies, Fruit Salads",2.0,A,07/31/2017,high income
PULQUERIA,MANHATTAN,DOYERS STREET,Mexican,13.0,A,02/16/2016,high income
CRYSTAL,MANHATTAN,EAST   52 STREET,Japanese,5.0,A,05/17/2017,high income
SARABETH'S,MANHATTAN,AMSTERDAM AVENUE,American,11.0,A,03/25/2015,high income
ATLANTIC GRILL WEST,MANHATTAN,WEST   64 STREET,American,7.0,A,08/02/2014,high income
16 HANDLES,MANHATTAN,2 AVENUE,"Ice Cream, Gelato, Yogurt, Ices",11.0,A,01/30/2017,high income
NUTRICION SALUD Y VIDA,BRONX,MELROSE AVENUE,Other,2.0,A,06/26/2017,low income
CHOP'T,MANHATTAN,EAST   52 STREET,Salads,7.0,A,09/11/2014,high income
SERAFINA GRILL,MANHATTAN,EAST 61 ST STREET,Italian,24.0,B,06/22/2015,high income
OAXACA TAQUERIA,MANHATTAN,AMSTERDAM AVENUE,Mexican,12.0,A,04/25/2014,high income
CAFE EVERGREEN,MANHATTAN,1 AVENUE,Chinese,4.0,A,08/09/2017,high income
GOOD FORTUNE RESTAURANT,QUEENS,KISSENA BOULEVARD,Chinese,13.0,A,11/16/2015,low income
MCDONALD'S,MANHATTAN,BROADWAY,Hamburgers,10.0,A,03/24/2015,high income
THE MUFFIN CAFE,MANHATTAN,COLUMBUS AVENUE,Caf̩/Coffee/Tea,32.0,C,06/13/2016,high income
NEW EMPIRE KITCHEN,QUEENS,UTOPIA PARKWAY,Chinese,11.0,A,02/13/2016,medium income
RANDALL RESTAURANT,BRONX,RANDALL AVENUE,Spanish,19.0,B,01/20/2017,low income
PICK A BAGEL,MANHATTAN,2 AVENUE,Bagels/Pretzels,9.0,A,05/20/2016,high income
PIACERE,MANHATTAN,BROOME STREET,Italian,13.0,A,12/09/2014,high income
LA TRATTORIA,MANHATTAN,2 AVENUE,Pizza,12.0,A,07/15/2014,high income
PAMPANO,MANHATTAN,EAST   49 STREET,Mexican,2.0,A,04/20/2015,high income
TRIBECA BAGELS,MANHATTAN,CANAL STREET,Delicatessen,12.0,A,08/24/2016,high income
SWEET HAUS CAFE,QUEENS,45TH AVE,"Juice, Smoothies, Fruit Salads",12.0,A,06/29/2016,low income
SUGAR BAR,MANHATTAN,WEST   72 STREET,American,12.0,A,08/01/2014,high income
SUSHI YOU,MANHATTAN,EAST   51 STREET,Japanese,12.0,A,11/25/2014,high income
WALNUT BUS STOP,BRONX,EAST  134 STREET,American,10.0,A,03/06/2015,low income
DUNKIN' DONUTS,BROOKLYN,3 AVENUE,Donuts,0.0,A,02/03/2017,high income
ZARO'S BREAD BASKET,MANHATTAN,EAST   42 STREET,Bakery,2.0,A,02/08/2016,high income
PRET A MANGER,MANHATTAN,BROADWAY,Sandwiches,12.0,A,12/16/2016,high income
STARBUCKS,MANHATTAN,LEXINGTON AVENUE,Caf̩/Coffee/Tea,11.0,A,12/02/2013,high income
MCDONALD'S,BRONX,BRUCKNER BOULEVARD,Hamburgers,7.0,A,02/13/2015,low income
CAFE ALICE,MANHATTAN,EAST   47 STREET,Delicatessen,17.0,B,12/23/2014,high income
STARBUCKS,MANHATTAN,BROADWAY,Caf̩/Coffee/Tea,0.0,A,03/20/2014,high income
VALENCIA COFFEE ROOM,BRONX,EDGEWATER ROAD,Caf̩/Coffee/Tea,2.0,A,12/04/2015,low income
696 GOURMET DELI,MANHATTAN,3 AVENUE,American,21.0,B,12/24/2015,high income
SUBWAY,QUEENS,QUEENS BLVD,Sandwiches,7.0,A,03/31/2016,medium income
STARBUCKS,MANHATTAN,WEST BROADWAY,Caf̩/Coffee/Tea,5.0,A,08/12/2016,high income
REVISION,MANHATTAN,AVENUE B,American,26.0,B,01/19/2017,medium income
AZUSA OF JAPAN,MANHATTAN,EAST   44 STREET,Japanese,12.0,A,07/15/2014,high income
LAZY POINT,MANHATTAN,SPRING STREET,American,10.0,A,03/25/2016,high income
NB. NATIONAL BAKERY,BRONX,WALTON AVENUE,Bakery,11.0,A,05/05/2017,low income
THE COMFORT DINER,MANHATTAN,EAST   45 STREET,American,13.0,A,07/16/2015,high income
REGENCY WHIST CLUB,MANHATTAN,EAST   67 STREET,American,12.0,A,01/10/2017,high income
BLUESPOON COFFEE,MANHATTAN,CHAMBERS STREET,Caf̩/Coffee/Tea,9.0,A,03/18/2016,high income
2A,MANHATTAN,AVENUE A,American,2.0,A,01/20/2015,medium income
YANKEE PIZZA RESTAURANT,MANHATTAN,AVENUE C,Pizza,10.0,A,06/28/2016,medium income
PEACE FOOD CAFE,MANHATTAN,AMSTERDAM AVENUE,American,10.0,A,02/29/2016,high income
PEACOCK RESTAURANT,BRONX,WEST  183 STREET,Chinese,11.0,A,12/01/2016,low income
GOTTA GETTA BAGEL OF QUEENS,QUEENS,71 AVENUE,Bagels/Pretzels,7.0,A,07/07/2014,medium income
GREAT WALL KITCHEN,BRONX,PROSPECT AVENUE,Chinese,3.0,A,06/24/2014,low income
GRACIE-MEWS RESTAURANT,MANHATTAN,1 AVENUE,American,8.0,A,04/01/2014,high income
SHANGHAI HEPING RESTAURANT,MANHATTAN,MOTT STREET,Chinese,17.0,B,02/09/2015,high income
STARBUCKS,MANHATTAN,BROADWAY,Caf̩/Coffee/Tea,12.0,A,04/28/2017,high income
DIPPIN' DOTS,BRONX,SOUTHERN BOULEVARD,American,0.0,A,06/14/2017,low income
GOOD FORTUNE RESTAURANT,QUEENS,KISSENA BOULEVARD,Chinese,25.0,B,07/30/2015,low income
BARBARESCO,MANHATTAN,LEXINGTON AVENUE,Italian,11.0,A,02/26/2014,high income
EMPANADAS EL GUSTAZO RESTAURANTE,QUEENS,COLLEGE POINT BLVD,"Latin (Cuban, Dominican, Puerto Rican, South & Central American)",12.0,A,02/15/2017,low income
FLORINDA RESTAURANT,BRONX,PROSPECT AVENUE,Spanish,7.0,A,06/30/2016,low income
MURPHY'S LAW,MANHATTAN,EAST   70 STREET,Irish,12.0,A,08/19/2015,high income
CASSIANO'S PIZZA,MANHATTAN,3 AVENUE,Pizza,12.0,A,04/02/2015,high income
NEW RED STAR,BRONX,SOUTHERN BOULEVARD,Chinese,9.0,A,01/23/2014,low income
THE VANDERBILT,BROOKLYN,VANDERBILT AVENUE,American,12.0,A,07/01/2017,medium income
BEANOCCHIOS CAFE,MANHATTAN,YORK AVENUE,American,10.0,A,02/24/2017,high income
TAURO RESTAURANT,MANHATTAN,HUDSON STREET,"Latin (Cuban, Dominican, Puerto Rican, South & Central American)",12.0,A,11/23/2016,high income
THE GRAFTON PUBLIC HOUSE,MANHATTAN,1 AVENUE,American,13.0,A,10/31/2016,medium income
THE SUPPLY HOUSE,MANHATTAN,2 AVENUE,American,7.0,A,08/13/2014,high income
BARRE CAFE AT STEPS,MANHATTAN,BROADWAY,Caf̩/Coffee/Tea,10.0,A,02/16/2017,high income
