INCOME LEVEL,DBA,STREET
high income,SPRINKLES CUPCAKES,LEXINGTON AVENUE
high income,David Burke Tavern,EAST   62 STREET
high income,CASABLANCA GRILL,1 AVENUE
high income,BIRCH COFFEE,EAST   62 STREET
high income,LA GOULUE RESTAURANT,EAST   61 STREET
high income,BAR ITALIA,MADISON AVENUE
high income,GOURMET BAGEL,LEXINGTON AVENUE
high income,CAFE FRESCO,1 AVENUE
high income,STARBUCKS,LEXINGTON AVENUE
high income,LILLI AND LOO,LEXINGTON AVENUE
high income,DANGERFIELD'S NIGHT CLUB,1 AVENUE
high income,MATCH 65,EAST   65 STREET
high income,VIAND COFFEE SHOP,MADISON AVENUE
high income,SCALINATELLA RESTAURANT,EAST   61 STREET
high income,HOTEL PIERRE-MAIN KITCHEN,EAST   61 STREET
high income,WING BISTRO,1 AVENUE
high income,HOTEL PIERRE-BANQUET KITCHEN,EAST   61 STREET
high income,NELLO,MADISON AVENUE
high income,PANDA EXPRESS,1 AVENUE
high income,BEDFORD FALLS,EAST   67 STREET
high income,TIELLA RESTAURANT,1 AVENUE
high income,LINKS CLUB,EAST   62 STREET
high income,DAVIDSTEA,3 AVENUE
high income,THE LOWELL,EAST   63 STREET
high income,JOHN & TONY'S PIZZA,1 AVENUE
high income,AMARANTH,EAST   62 STREET
high income,CLUB MACANUDO (CIGAR BAR),EAST   63 STREET
high income,RAVAGH PERSIAN GRILL,1 AVENUE
high income,GRIFFIS FACULTY CLUB,EAST   68 STREET
high income,TREADWELL PARK/SUGAR EAST,1 AVENUE
high income,DYLAN'S CANDY BAR,3 AVENUE
high income,BARBARESCO,LEXINGTON AVENUE
high income,ALICES TEA CUP CHAPTER 2,EAST   64 STREET
high income,LOCO COCO,LEXINGTON AVENUE
high income,GINZA,LEXINGTON AVENUE
high income,KNICKERBOCKER CLUB,EAST   62 STREET
high income,ARABELLE,EAST   64 STREET
high income,MOTI MAHAL DELUX,1 AVENUE
high income,KOME WAZA,1 AVENUE
high income,"DUNKIN', BASKIN ROBBINS",1 AVENUE
high income,CMX-CINEBISTRO,EAST   62 STREET
high income,SERENA'S,2 AVENUE
high income,GINA MEXICANA,EAST   61 STREET
high income,LUCISOUS THAI,1 AVENUE
high income,MEDITERRANEO,2 AVENUE
high income,FELICE 64 WINE BAR,1 AVENUE
high income,SOCIETY OF ILLUSTRATORS,EAST   63 STREET
high income,COLONY CLUB,PARK AVENUE
high income,LE CHARLOT,EAST   69 STREET
high income,NESPRESSO,MADISON AVENUE
high income,FLORA BAR,MADISON AVENUE
high income,MISSION CEVICHE,2 AVENUE
high income,ALEX CAFE & DELI,LEXINGTON AVENUE
high income,DOMINO'S PIZZA,1 AVENUE
high income,GOOD HEALTH CAFE,1 AVENUE
high income,BAREBURGER,1 AVENUE
high income,CAFE EVERGREEN,1 AVENUE
high income,LADUREE PARIS,MADISON AVENUE
high income,2ND AVENUE DELI,1 AVENUE
high income,PJ BERNSTEIN DELI & RESTAURANT,THIRD AVENUE
high income,INES CAFE,EAST   74 STREET
high income,SEPHORA CAFE 6,EAST   74 STREET
high income,SIX HAPPINESS,2 AVENUE
high income,NUMERO 28,1 AVENUE
high income,NAMASTE,1 AVENUE
high income,JOE & THE JUICE,3 AVENUE
high income,BOMBAY CHOWK,1 AVENUE
high income,JEAN CLAUDE FRENCH BISTRO,2 AVENUE
high income,LE REVEIL COFFEE SHOP,2 AVENUE
high income,OITA SUSHI,2 AVENUE
high income,Bigoi Venezia,2 AVENUE
high income,KO SUSHI,2 AVENUE
high income,SUSHI GAMA,2 AVENUE
high income,COME PRIMA,MADISON AVENUE
high income,GREEN BEAN CAFE,YORK AVENUE
high income,TENNY & BETSY,EAST   76 STREET
high income,CAMPAGNOLA RESTAURANT,1 AVENUE
high income,GINA LA FORNARINA,LEXINGTON AVENUE
high income,BAGELS & CO,EAST   76 STREET
high income,NINO'S RESTAURANT,1 AVENUE
high income,BOHEMIAN SPIRIT RESTAURANT,EAST   73 STREET
high income,HOTEL CARLYLE,EAST   76 STREET
high income,4TH FLOOR CAFE,EAST   71 STREET
high income,EATS,LEXINGTON AVENUE
high income,BRASSERIE COGNAC EAST,LEXINGTON AVENUE
high income,DIG INN,1 AVENUE
high income,THE HUNTERIAN,EAST   70 STREET
