DBA,STREET,INCOME_LEVEL,BOROUGH,ZIPCODE,CUISINE_DESCRIPTION,SCORE,GRADE
INTERCONTINENTAL BARCLAY-LOBBY RESTAURANT,EAST   48 STREET,high income,Manhattan,10017,American,13,A
STARBUCKS,QUEENS BOULEVARD,medium income,Queens,11375,Coffee/Tea,13,A
DUBLIN HOUSE,WEST   79 STREET,high income,Manhattan,10024,Irish,9,A
SHAN DONG DUMPLING,MOSCO STREET,high income,Manhattan,10013,Chinese,7,A
SUSHI YASAKA,WEST   72 STREET,high income,Manhattan,10023,Japanese,12,A
POPEYES,WALKER STREET,high income,Manhattan,10013,Chicken,6,A
TRINITY PUB,EAST   84 STREET,high income,Manhattan,10028,American,5,A
GEN RESTAURANT,WASHINGTON AVENUE,medium income,Brooklyn,11238,Japanese,2,A
BEACH BAGEL,BEACH  129 STREET,medium income,Queens,11694,Bagels/Pretzels,11,A
BRICKTOWN BAGELS & CAFE,VERNON BLVD,medium income,Queens,11101,Bagels/Pretzels,12,A
CANDLE CAFE,3 AVENUE,high income,Manhattan,10021,Vegetarian,13,A
ED'S ELBOW ROOM,EAST   78 STREET,high income,Manhattan,10075,American,2,A
STARBUCKS,BROADWAY,high income,Bronx,10463,Coffee/Tea,7,A
CAFE OLYMPIA,2 AVENUE,high income,Manhattan,10017,American,13,A
CIRO'S PIZZA,BEACH  116 STREET,medium income,Queens,11694,Pizza,12,A
THE JEFFREY,EAST   60 STREET,high income,Manhattan,10022,American,12,A
BOHEMIAN SPIRIT RESTAURANT,EAST   73 STREET,high income,Manhattan,10021,American,12,A
SAINT ANN'S CAFE RESTAURANT,SAINT ANNS AVENUE,low income,Bronx,10454,Latin American,10,A
MCDONALD'S,3 AVENUE,high income,Manhattan,10016,Hamburgers,4,A
HALE & HEARTY SOUP,LEXINGTON AVENUE,high income,Manhattan,10065,Soups/Salads/Sandwiches,11,A
EMPIRE KING RESTAURANT,BOSTON ROAD,low income,Bronx,10456,Chinese,8,A
CAROL'S CAFE,EAST   51 STREET,high income,Manhattan,10022,American,4,A
TAQUERIA LUPITA II,EAST TREMONT AVENUE,low income,Bronx,10460,Mexican,8,A
BONDURANTS,EAST   85 STREET,high income,Manhattan,10028,American,21,B
TAL BAGELS,LEXINGTON AVENUE,high income,Manhattan,10028,Bagels/Pretzels,5,A
LA MIA PIZZA,1 AVENUE,high income,Manhattan,10028,Pizza,9,A
THE VIAND DINER & BAR,COLUMBUS AVENUE,high income,Manhattan,10024,American,5,A
ELI'S ESSENTIALS,3 AVENUE,high income,Manhattan,10075,American,12,A
REMI FLOWER & COFFEE,2 AVENUE,high income,Manhattan,10017,Coffee/Tea,23,B
THE PECKING ORDER,SOUTHERN BOULEVARD,low income,Bronx,10460,American,2,A
LOTOS CLUB GRILL ROOM,EAST   66 STREET,high income,Manhattan,10065,American,11,A
TACO VELOZ VIP,EAST  138 STREET,low income,Bronx,10454,Tex-Mex,10,A
KUNG FU LITTLE STEAMED BUNS RAMEN,EAST   55 STREET,high income,Manhattan,10022,Chinese,12,A
RMM LOUNGE,DAWSON STREET,low income,Bronx,10455,American,2,A
DOUBLE CRISPY BAKERY I,GRAND STREET,high income,Manhattan,10013,Chinese,10,A
DAISY'S PIZZA WINGS & BURGERS,LONGWOOD AVENUE,low income,Bronx,10459,Chicken,8,A
SUBWAY,2 AVENUE,high income,Manhattan,10017,Sandwiches,10,A
TITA'S DONUTS AND COFFEE SHOP,GRAND CONCOURSE,low income,Bronx,10457,Bakery Products/Desserts,4,A
SMILER'S DELI,MADISON AVENUE,high income,Manhattan,10022,Sandwiches,11,A
